Influencer_Name,IG_Handle,Category,Followers,Avg_Likes,Eng_Auth,Posts_Per_Week,Country,Email_Status
Kavya Singh,@kavyatech_ai,Tech/AI,"45,000",2100.0,1850.0,4.0,India,Verified
Arjun Sharma,@arjun_codes,Coding,12k,800.0,750.0,5.0,India,Verified
Siddharth Verma,@sid_ai_explorer,AI/ML,88500,4200.0,3900.0,,India,Unverified
Ananya Iyer,@ananya_data,Data Science,"25,000",1500.0,1400.0,6.0,India,Verified
Varun Rao,@varun_cloud,Cloud Computing,15k,700.0,650.0,2.0,India,Verified
Ishaan Gupta,@ishaan_builds,Tech,32000,1100.0,900.0,4.0,India,
Meera Reddy,@meera_ux,Design,"67,000",3000.0,2800.0,5.0,India,Verified
Rohan Das,@rohan_dev,Software,"11,500",500.0,480.0,7.0,India,Verified
Priya Kapoor,@priya_lifestyle,Lifestyle,"95,000",5000.0,3200.0,3.0,India,Unverified
Kabir Mehta,@kabir_fitness,Fitness,"42,000",2500.0,2100.0,4.0,India,Verified
Tanmay Bhat,@tanmaybhat,Entertainment,1.9M,,110000.0,5.0,India,Verified
Naman Saraiya,@naman_s,Tech/Travel,"120,000",,7500.0,3.0,India,Verified
Shlok Srivastava,@techburner,Tech,5.2M,,380000.0,6.0,India,Verified
Ranveer Allahbadia,@beerbiceps,Self-Improvement,7.5M,,150000.0,7.0,India,Verified
Raj Shamani,@rajshamani,Business,2.1M,,75000.0,6.0,India,Verified
Technical Guruji,@technicalguruji,,2.3M,,70000.0,5.0,India,Verified
Prajakta Koli,@mostlysane,Entertainment,7.8M,300000.0,250000.0,4.0,India,Verified
Ankur Warikoo,@ankurwarikoo,,2.2M,70000.0,60000.0,7.0,,Verified
Bhuvan Bam,@bhuvan.bam22,Entertainment,19.5M,1200000.0,900000.0,2.0,India,Verified
Cushane,@cushane_tech,Tech,150k,9000.0,8200.0,4.0,USA,Verified
Aman Dhattarwal,@aman_dhattarwal,,10860,4272.0,3627.0,2.0,India,Pending
Shradha Khapra,@shradha_khapra,Education,97498,3944.0,3353.0,3.0,India,Unverified
Love Babbar,@love_babbar,Gaming,10769,2891.0,2625.0,6.0,India,Unverified
Raj Vikramaditya,@raj_vikramaditya,Lifestyle,93104,3885.0,3229.0,4.0,India,Verified
Hitesh Choudhary,@hitesh_choudhary,Tech,35658,3058.0,2247.0,4.0,India,Pending
CodeWithHarry,@codewithharry,Education,77435,1767.0,1498.0,3.0,India,Verified
Vishwa Mohan,@vishwa_mohan,Education,51606,3388.0,2426.0,4.0,India,Verified
Kunal Kushwaha,@kunal_kushwaha,Lifestyle,83969,2541.0,1972.0,5.0,India,Unverified
Gaurav Sen,@gaurav_sen,Lifestyle,33483,1978.0,1686.0,7.0,India,Pending
Rachit Jain,@rachit_jain,Tech,77121,4443.0,3949.0,6.0,India,Unverified
Naman Bhayani,,,62995,2000.0,1884.0,2.0,India,
Ayush Singh,@ayush_singh,AI,42606,3842.0,2774.0,7.0,India,
Krish Naik,@krish_naik,Gaming,33247,837.0,,2.0,India,
Sudhanshu Kumar,@sudhanshu_kumar,Lifestyle,49099,879.0,,,India,
Nitish Singh,@nitish_singh,Gaming,58984,3068.0,2739.0,4.0,India,
Rahul Shetty,@rahul_shetty,Education,97538,891.0,786.0,1.0,India,
Naveen Reddy,@naveen_reddy,Gaming,13561,2778.0,2396.0,4.0,India,Pending
Amulya Rattan,@amulya_rattan,Tech,40535,3604.0,2580.0,7.0,India,Unverified
Sameeksha Sud,@sameeksha_sud,Gaming,94651,3273.0,3017.0,1.0,India,Pending
Avneet Kaur,@avneet_kaur,Gaming,18110,3190.0,2839.0,2.0,India,Pending
Siddharth Nigam,@siddharth_nigam,Education,10206,1984.0,1488.0,7.0,India,Verified
Jannat Zubair,@jannat_zubair,Lifestyle,64268,4691.0,4099.0,5.0,India,Pending
Faisal Shaikh,@faisal_shaikh,Gaming,77214,3742.0,2809.0,5.0,India,Pending
Riyaz Aly,@riyaz_aly,Education,32299,3125.0,2675.0,6.0,,Verified
Nagma Mirajkar,@nagma_mirajkar,Gaming,12693,4127.0,3318.0,6.0,India,Pending
Awez Darbar,,,85766,3802.0,3523.0,1.0,India,Verified
Manav Chhabra,@manav_chhabra,Education,71373,3175.0,2502.0,3.0,India,Pending
Unnati Malharkar,@unnati_malharkar,Education,13748,1163.0,1088.0,6.0,India,Verified
Ashish Chanchlani,@ashish_chanchlani,,64384,2353.0,2218.0,4.0,India,Unverified
CarryMinati,@carryminati,AI,33664,2136.0,1647.0,1.0,India,Pending
Amit Bhadana,@amit_bhadana,,10854,3974.0,3458.0,5.0,India,Unverified
Harsh Beniwal,@harsh_beniwal,,62662,702.0,556.0,1.0,India,Pending
Kusha Kapila,@kusha_kapila,,62083,697.0,557.0,7.0,India,Verified
Dolly Singh,,Tech,52107,4782.0,3570.0,5.0,India,Pending
Komal Pandey,@komal_pandey,Lifestyle,12811,1869.0,1547.0,3.0,India,Pending
Ankush Bahuguna,@ankush_bahuguna,Lifestyle,18680,3476.0,2778.0,7.0,India,Unverified
Barkha Singh,@barkha_singh,Tech,11802,4561.0,3986.0,7.0,India,Unverified
Mithila Palkar,@mithila_palkar,Tech,26371,4143.0,3170.0,1.0,India,Unverified
Masoom Minawala,@masoom_minawala,Lifestyle,30932,3608.0,3321.0,7.0,India,Verified
Diipa Khosla,@diipa_khosla,Tech,52642,2755.0,2546.0,6.0,India,Verified
Niharika NM,@niharika_nm,Lifestyle,10.5K,2148.0,1590.0,6.0,India,Unverified
Sharan Hegde,@sharan_hegde,Education,12000,598.0,564.0,2.0,India,Unverified
Neha Nagar,@neha_nagar,AI,,3369.0,2735.0,5.0,India,Verified
Anushka Rathod,@anushka_rathod,Lifestyle,,4993.0,3901.0,4.0,India,Pending
Sayali Rai,,Education,,3604.0,3011.0,3.0,India,Pending
Juvarya Syed,,Gaming,84290,2985.0,2765.0,3.0,India,Unverified
Ranveer Brar,@ranveer_brar,Gaming,64045,1459.0,1336.0,4.0,India,Verified
Kunal Kapur,@kunal_kapur,Education,66835,3620.0,2573.0,,India,Unverified
Vikas Khanna,@vikas_khanna,Gaming,92989,3944.0,3631.0,4.0,India,Verified
Pooja Dhingra,@pooja_dhingra,,28711,3920.0,3163.0,5.0,India,Pending
Shipra Khanna,@shipra_khanna,Education," 25,000 ",1639.0,1267.0,5.0,India,Pending
Kabita Singh,@kabita_singh,Tech,95314,627.0,497.0,2.0,India,Pending
Nisha Madhulika,@nisha_madhulika,AI,61885,4363.0,3281.0,7.0,India,Unverified
Sanjyot Keer,@sanjyot_keer,AI,66958,654.0,506.0,2.0,,Verified
Yaman Agarwal,@yaman_agarwal,Tech,88069,3306.0,2661.0,2.0,India,Verified
Gaurav Taneja,@gaurav_taneja,Gaming,98891,3450.0,2847.0,5.0,India,Verified
Ritu Rathee,@ritu_rathee,Lifestyle,97922,1666.0,1322.0,,India,Pending
Sourav Joshi,@sourav_joshi,Education,62921,1074.0,,6.0,India,Unverified
Piyush Joshi,@piyush_joshi,AI,66661,2215.0,1572.0,7.0,India,Unverified
Arun Prabhudesai,@arun_prabhudesai,Education,78027,3160.0,,5.0,India,Verified
Ashish Kumar,@ashish_kumar,Lifestyle,64021,1376.0,1030.0,6.0,India,Pending
Geekyranjit,@geekyranjit,,49734,4864.0,4583.0,2.0,India,Unverified
Rajiv Makhni,@rajiv_makhni,Education,96672,619.0,475.0,4.0,India,Unverified
Mallika Dua,@mallika_dua,AI,42217,616.0,443.0,,India,Verified
Srishti Dixit,@srishti_dixit,Lifestyle,84740,2164.0,1608.0,1.0,India,Pending
Vishnu Kaushal,@vishnu_kaushal,AI,56175,1059.0,789.0,5.0,India,Verified
Kareema Barry,@kareema_barry,,13343,4570.0,3949.0,5.0,,Unverified
Agasthya Shah,@agasthya_shah,Gaming,69638,3647.0,,3.0,India,Verified
Devishi Madaan,@devishi_madaan,Tech,71389,1743.0,1240.0,,India,Unverified
Taneesho,@taneesho,Lifestyle,39124,3459.0,2505.0,5.0,India,Pending
Sakshi Shivdasani,@sakshi_shivdasani,Lifestyle,72752,2257.0,1946.0,2.0,India,Unverified
Tarini Peshawaria,@tarini_peshawaria,Gaming,78385,3751.0,2976.0,2.0,India,Pending
Vasudha Rai,@vasudha_rai,AI,19823,3316.0,2768.0,5.0,India,Pending
Kritika Khurana,@kritika_khurana,AI,59115,1395.0,1198.0,4.0,India,Unverified
Deeksha Khurana,@deeksha_khurana,,45195,2068.0,1684.0,3.0,India,Pending
Siddharth Batra,@siddharth_batra,Gaming,48304,4413.0,3317.0,5.0,India,Verified
Sejal Kumar,@sejal_kumar,Lifestyle,48494,3873.0,2728.0,,India,Unverified
Larissa DSa,@larissa_dsa,Education,37350,3396.0,2933.0,5.0,India,Unverified
Mumbiker Nikhil,@mumbiker_nikhil,AI,85353,3569.0,3225.0,1.0,India,Pending
Zaid Darbar,@zaid_darbar,Lifestyle,92745,2016.0,1883.0,4.0,India,Verified
Kavya Singh,@kavyatech_ai,Tech/AI,"45,000",2100.0,1850.0,4.0,India,Verified
Arjun Sharma,@arjun_codes,Coding,12k,800.0,750.0,5.0,India,Verified
Siddharth Verma,@sid_ai_explorer,AI/ML,88500,4200.0,3900.0,,India,Unverified
Ananya Iyer,@ananya_data,Data Science,"25,000",1500.0,1400.0,6.0,India,Verified
Varun Rao,@varun_cloud,Cloud Computing,15k,700.0,650.0,2.0,India,Verified
